"id","text","timestamp"
"1","The delivery was late and customer support was unresponsive.","2025-03-30T10:15:00"
"2","I love the product quality, but the packaging was damaged.","2025-03-30T11:00:00"
"3","The website is too slow when browsing on mobile.","2025-03-30T11:45:00"
"4","Great service! The team was very helpful in resolving my issue.","2025-03-30T12:30:00"
"5","I received a wrong item in my order, and it's taking too long to get a refund.","2025-03-30T13:15:00"
"6","The chatbot is useful, but it sometimes gives irrelevant answers.","2025-03-30T14:00:00"
"7","Why is the price on the website different from the one in-store?","2025-03-30T14:45:00"
"8","I had an amazing experience! The staff was super friendly.","2025-03-30T15:30:00"
"9","The mobile app keeps crashing when I try to checkout.","2025-03-30T16:15:00"
"10","Fast delivery and excellent product quality. Will buy again!","2025-03-30T17:00:00"
"11","The shipment arrived behind schedule and customer service did not respond.","2025-04-01T12:29:12"
"12","I am impressed with the product quality, although the packaging arrived damaged.","2025-04-01T12:29:12"
"13","The site loads too slowly when accessed on a mobile device.","2025-04-01T12:29:12"
"14","Excellent assistance! The team was incredibly supportive in solving my problem.","2025-04-01T12:29:12"
"15","I got an incorrect item in my shipment, and the refund process is taking too much time.","2025-04-01T12:29:12"
"16","The chatbot is helpful, though it occasionally provides unrelated responses.","2025-04-01T12:29:12"
"17","Why does the website list a different price than what's offered in-store?","2025-04-01T12:29:12"
"18","I had a fantastic time! The team was incredibly welcoming.","2025-04-01T12:29:12"
"19","The mobile application repeatedly crashes whenever I attempt to complete the checkout process.","2025-04-01T12:29:12"
"20","Quick shipping and top-notch product quality. I plan to purchase again!","2025-04-01T12:29:12"
"21","The shipment arrived late and customer service did not respond.","2025-04-01T12:29:13"
"22","I’m impressed with the product quality, although the packaging arrived damaged.","2025-04-01T12:29:13"
"23","The website loads very slowly when viewed on a mobile device.","2025-04-01T12:29:13"
"24","Excellent service! The team was incredibly helpful in addressing my problem.","2025-04-01T12:29:13"
"25","I got an incorrect item with my order, and the refund process is very slow.","2025-04-01T12:29:13"
"26","The chatbot is helpful, although it occasionally provides answers that don't pertain to the topic.","2025-04-01T12:29:13"
"27","Why does the price on the website differ from the in-store price?","2025-04-01T12:29:13"
"28","I had a fantastic time! The team was incredibly welcoming.","2025-04-01T12:29:13"
"29","I experience app crashes whenever I attempt to complete the checkout process on my mobile device.","2025-04-01T12:29:13"
"30","Quick delivery and top-notch product quality. I'll definitely purchase again!","2025-04-01T12:29:13"
"31","The shipment arrived behind schedule and the customer service did not respond.","2025-04-01T12:29:20"
"32","I am impressed with the product's quality, though the packaging was damaged.","2025-04-01T12:29:20"
"33","The website takes too long to load on mobile devices.","2025-04-01T12:29:20"
"34","Excellent service! The team was incredibly supportive in addressing my problem.","2025-04-01T12:29:20"
"35","I got the incorrect item in my order, and the refund process is taking too much time.","2025-04-01T12:29:20"
"36","The chatbot is helpful, although it occasionally provides unrelated responses.","2025-04-01T12:29:20"
"37","Why does the price online differ from the in-store price?","2025-04-01T12:29:20"
"38","I had a fantastic time! The team was incredibly welcoming.","2025-04-01T12:29:20"
"39","The app on my phone crashes whenever I attempt to complete the checkout process.","2025-04-01T12:29:20"
"40","Quick shipping and top-notch product quality. I'll purchase again!","2025-04-01T12:29:20"
"41","The shipment was delayed and the customer service team did not respond.","2025-04-01T12:29:21"
"42","I am impressed with the quality of the product, but the packaging was harmed.","2025-04-01T12:29:21"
"43","The website loads too slowly on mobile devices.","2025-04-01T12:29:21"
"44","Excellent service! The team was extremely helpful in addressing my problem.","2025-04-01T12:29:21"
"45","I was sent an incorrect item with my order, and the refund process is taking too much time.","2025-04-01T12:29:21"
"46","The chatbot is helpful, though it occasionally provides answers that are off-topic.","2025-04-01T12:29:21"
"47","Why does the online price differ from the in-store price?","2025-04-01T12:29:21"
"48","I had a fantastic time! The team was incredibly welcoming.","2025-04-01T12:29:21"
"49","The app on my phone crashes every time I attempt to complete a purchase.","2025-04-01T12:29:21"
"50","Quick shipping and outstanding product quality. I plan to purchase again!","2025-04-01T12:29:21"
"51","The shipment arrived behind schedule and the customer service team did not respond.","2025-04-01T12:29:23"
"52","I am impressed with the product quality, though the packaging was damaged.","2025-04-01T12:29:23"
"53","The mobile browsing experience on the website is very sluggish.","2025-04-01T12:29:23"
"54","Excellent service! The team was extremely helpful in solving my problem.","2025-04-01T12:29:23"
"55","I got an incorrect item in my order, and the refund process is too slow.","2025-04-01T12:29:23"
"56","The chatbot is helpful, though it occasionally provides unrelated responses.","2025-04-01T12:29:23"
"57","Why does the website charge a different price than the store?","2025-04-01T12:29:23"
"58","I had a wonderful time! The team was incredibly welcoming.","2025-04-01T12:29:23"
"59","The mobile app crashes whenever I attempt to complete the checkout process.","2025-04-01T12:29:23"
"60","Quick shipping and outstanding product quality. I'll purchase again!","2025-04-01T12:29:23"
"61","The shipment arrived behind schedule, and the customer service team did not respond.","2025-04-01T12:29:24"
"62","I am impressed with the quality of the product, although the packaging was damaged.","2025-04-01T12:29:24"
"63","The website loads too slowly while being accessed on a mobile device.","2025-04-01T12:29:24"
"64","Excellent service! The team was incredibly helpful in addressing my problem.","2025-04-01T12:29:24"
"65","I was sent the incorrect item in my order, and the refund process is dragging on.","2025-04-01T12:29:24"
"66","The chatbot is helpful, although it occasionally provides unrelated responses.","2025-04-01T12:29:24"
"67","Why does the price differ between the website and the store?","2025-04-01T12:29:24"
"68","I had a wonderful time! The employees were incredibly welcoming.","2025-04-01T12:29:24"
"69","The app keeps closing unexpectedly whenever I attempt to complete the checkout process.","2025-04-01T12:29:24"
"70","""Quick shipping and outstanding product quality. I'll definitely purchase again!""","2025-04-01T12:29:24"
"71","The shipment arrived behind schedule, and customer support did not respond.","2025-04-01T12:29:26"
"72","I am impressed with the product's quality, though the packaging was harmed.","2025-04-01T12:29:26"
"73","The website is sluggish when accessed on a mobile device.","2025-04-01T12:29:26"
"74","Excellent service! The team was incredibly helpful in addressing my problem.","2025-04-01T12:29:26"
"75","I got an incorrect item with my order, and the refund process is taking too much time.","2025-04-01T12:29:26"
"76","The chatbot is helpful, although it occasionally provides unrelated responses.","2025-04-01T12:29:26"
"77","Why does the price online differ from the price in the store?","2025-04-01T12:29:26"
"78","I had a fantastic time! The team was incredibly welcoming.","2025-04-01T12:29:26"
"79","The app consistently crashes whenever I attempt to complete the checkout process.","2025-04-01T12:29:26"
"80","Quick shipping and outstanding quality. I'll purchase again!","2025-04-01T12:29:26"
"81","The delivery arrived late and the customer service did not respond.","2025-04-01T12:29:27"
"82","I’m impressed with the quality of the product, though the packaging was damaged.","2025-04-01T12:29:27"
"83","The website takes too long to load on mobile devices.","2025-04-01T12:29:27"
"84","Excellent service! The team was extremely supportive in addressing my concern.","2025-04-01T12:29:27"
"85","I got an incorrect item in my order, and the refund process is taking too much time.","2025-04-01T12:29:27"
"86","The chatbot is helpful, but occasionally it provides off-topic responses.","2025-04-01T12:29:27"
"87","Why does the website price differ from the in-store price?","2025-04-01T12:29:27"
"88","I had a fantastic time! The staff was incredibly welcoming.","2025-04-01T12:29:27"
"89","The app repeatedly crashes whenever I attempt to complete a purchase.","2025-04-01T12:29:27"
"90","Quick shipping and top-notch product quality. Definitely planning to purchase again!","2025-04-01T12:29:27"
"91","The shipment arrived late, and customer support did not respond.","2025-04-01T12:29:28"
"92","I am impressed with the product's quality, although the packaging arrived damaged.","2025-04-01T12:29:28"
"93","The website loads too slowly when accessed on a mobile device.","2025-04-01T12:29:28"
"94","Excellent service! The team was extremely supportive in addressing my problem.","2025-04-01T12:29:28"
"95","I got an incorrect item in my order, and it's taking ages to receive a refund.","2025-04-01T12:29:28"
"96","The chatbot is helpful, though it occasionally provides unrelated responses.","2025-04-01T12:29:28"
"97","Why does the price online differ from the price in the store?","2025-04-01T12:29:28"
"98","I had a fantastic time! The team was extremely welcoming.","2025-04-01T12:29:28"
"99","The mobile application consistently crashes whenever I attempt to complete the checkout process.","2025-04-01T12:29:28"
"100","Quick shipping and outstanding product quality. I plan to purchase again!","2025-04-01T12:29:28"
"101","The shipment arrived late and customer service did not respond.","2025-04-01T12:29:30"
"102","I am impressed with the product quality, but the packaging was damaged.","2025-04-01T12:29:30"
"103","The website loads too slowly when viewed on a mobile device.","2025-04-01T12:29:30"
"104","Excellent service! The team was incredibly supportive in solving my problem.","2025-04-01T12:29:30"
"105","I got an incorrect item in my order, and the refund process is taking too long.","2025-04-01T12:29:30"
"106","The chatbot is helpful, though it occasionally provides answers that aren't pertinent.","2025-04-01T12:29:30"
"107","Why is there a difference between the price listed online and the one in the store?","2025-04-01T12:29:30"
"108","I had a fantastic time! The staff was extremely welcoming.","2025-04-01T12:29:30"
"109","The app on my phone crashes each time I attempt to complete the checkout process.","2025-04-01T12:29:30"
"110","Quick shipping and high-quality products. I'll definitely purchase again!","2025-04-01T12:29:30"
"111","The shipment arrived behind schedule and customer service did not respond.","2025-04-01T12:29:31"
"112","I am impressed with the product quality, though the packaging was damaged.","2025-04-01T12:29:31"
"113","The site takes too long to load when accessed on a mobile device.","2025-04-01T12:29:31"
"114","Excellent service! The team was incredibly supportive in addressing my problem.","2025-04-01T12:29:31"
"115","I got an incorrect item with my order, and the refund process is taking too long.","2025-04-01T12:29:31"
"116","The chatbot is helpful, though it occasionally provides unrelated responses.","2025-04-01T12:29:31"
"117","Why does the website price differ from the in-store price?","2025-04-01T12:29:31"
"118","I had a fantastic time! The team was incredibly welcoming.","2025-04-01T12:29:31"
"119","The app consistently crashes whenever I attempt to complete the checkout process.","2025-04-01T12:29:31"
"120","Quick shipping and top-notch product quality. I will purchase again!","2025-04-01T12:29:31"
"121","The delivery arrived later than expected, and the customer support team did not respond.","2025-04-01T12:29:33"
"122","I appreciate the quality of the product, although the packaging was damaged.","2025-04-01T12:29:33"
"123","The website loads too slowly when accessed on a mobile device.","2025-04-01T12:29:33"
"124","Excellent service! The staff was extremely supportive in solving my problem.","2025-04-01T12:29:33"
"125","I got an incorrect item in my order, and the refund process is taking longer than expected.","2025-04-01T12:29:33"
"126","The chatbot can be helpful, although it occasionally provides unrelated responses.","2025-04-01T12:29:33"
"127","Why does the price on the website differ from the in-store price?","2025-04-01T12:29:33"
"128","I had a wonderful time! The team was incredibly welcoming.","2025-04-01T12:29:33"
"129","The app on my phone crashes whenever I attempt to complete the checkout process.","2025-04-01T12:29:33"
